path,size_bytes,sha256,release
VERSION,4,25905ca7fb1df06eed3712da6495f854ea1f8fbbc3b101a37fbe6822ee802297,PIH_MS_V2.4_SUFICIENCIA_POR_PERGUNTA
docs/index.html,57960,86158a337a08f40719e5f869004863f4397cfaaf02ae9f2067b546770a8acce7,PIH_MS_V2.4_SUFICIENCIA_POR_PERGUNTA
docs/assets/css/pih.css,38517,6eddf94f9fc47ef901c145efe253fdc7b5a2805ebe0e9b17d63e569da48f77c2,PIH_MS_V2.4_SUFICIENCIA_POR_PERGUNTA
docs/assets/js/pih.js,140908,9cbb63c8667b08e2104daf239829750cc34e33e8297038f79d0a8375402ced1a,PIH_MS_V2.4_SUFICIENCIA_POR_PERGUNTA
docs/assets/img/mi-posicao-ms.svg,3168,a5b4ed9e845be9d0fca87b38207ff4ba7e2041a40cb4f7dcb6947f8bc29cd2ed,PIH_MS_V2.4_SUFICIENCIA_POR_PERGUNTA
docs/data/statistics/statistics_v221.json,97585,7bf1dc775f980bd48ad56e8d6fab6206efc0674a643872382995ec884265cea2,PIH_MS_V2.4_SUFICIENCIA_POR_PERGUNTA
docs/autoria-direitos.html,4067,ad2a163c72bc1c55199974f85e608fe38ed174af62b3565ac3c940b7e3a3cfef,PIH_MS_V2.4_SUFICIENCIA_POR_PERGUNTA
docs/licenca-conteudos.html,2101,6f5db6543676bd4648861a4dcbadb9562fe02c42e606a1901a7e73f79ef18e40,PIH_MS_V2.4_SUFICIENCIA_POR_PERGUNTA
docs/metodologia-suficiencia-pergunta.html,9059,df4de6cf1f0479b2b5eaaf42239082bb1667d7a85b38ce8f45773dc3a6ab28a8,PIH_MS_V2.4_SUFICIENCIA_POR_PERGUNTA
docs/guia-resultados.html,50009,445535527ada8757d69bd741a22c79d9fc6f8b161e72c03055602f5837a648c6,PIH_MS_V2.4_SUFICIENCIA_POR_PERGUNTA
LICENSE,34520,57c8ff33c9c0cfc3ef00e650a1cc910d7ee479a8bc509f6c9209a7c2a11399d6,PIH_MS_V2.4_SUFICIENCIA_POR_PERGUNTA
LICENSE-CONTENT.md,1762,39a807abc05b535831216534956576bfa2ca291617b0955b76de3c3726503681,PIH_MS_V2.4_SUFICIENCIA_POR_PERGUNTA
README.md,4972,f306a9d6c3d3b9235c26d7a134c326cbc6998ee75c74053bbf4bfa9a9039b598,PIH_MS_V2.4_SUFICIENCIA_POR_PERGUNTA
ESTUDO_SUFICIENCIA_POR_PERGUNTA_V1.md,4482,5f1a3359ac259365da59f78d41c0c41731a9448ac1ccd593b5770b3cf5c5823b,PIH_MS_V2.4_SUFICIENCIA_POR_PERGUNTA
AUDITORIA_SUFICIENCIA_POR_PERGUNTA_V24.md,5357,5ee55609f826ec83945a758941f241f2e4e7ffccb8ec4a05ce84a4a6c00e6abd,PIH_MS_V2.4_SUFICIENCIA_POR_PERGUNTA
PIH_MS_SUFICIENCIA_POR_PERGUNTA_V1.xlsx,2147793,bf2b11b2dbf5e2b73821eb6ad54eac37494f5e53e19271b0d0be2247bd2b8037,PIH_MS_V2.4_SUFICIENCIA_POR_PERGUNTA
docs/data/question_sufficiency/cell_question_sufficiency_long.csv,11628226,2dfb35c0be8b1cda459e63dba6bd875a4f21bdb627eee5dbc873b54ecbed1336,PIH_MS_V2.4_SUFICIENCIA_POR_PERGUNTA
docs/data/question_sufficiency/dimension_dependency_matrix.csv,7013,150a14a18faa2464eee45e052c0cc1f1576c51c840d83f3c240cc52aec6af163,PIH_MS_V2.4_SUFICIENCIA_POR_PERGUNTA
docs/data/question_sufficiency/question_dependency_pairwise.csv,27681,8f9b739683f534ebab2b63700955356704419fdd9a7c792d81a07410adb85664,PIH_MS_V2.4_SUFICIENCIA_POR_PERGUNTA
docs/data/question_sufficiency/question_global_summary.csv,1139,2e172419e5ab2900024267cdd03b1c189b49d2068378bf761f01e908fd048fee,PIH_MS_V2.4_SUFICIENCIA_POR_PERGUNTA
